typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/kg)
PrimaryValue/weight"
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,198893,FALSE,8,kg,198893,FALSE,"198,893",FALSE,0,FALSE,,"$302,896.00","$302,896.00",0,TRUE,FALSE,$1.52
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,214,DOM,Dominican Rep.,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70.51,FALSE,8,kg,70.51,FALSE,71,FALSE,0,FALSE,,$759.00,$759.00,0,TRUE,FALSE,$10.76
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,316,GUM,Guam,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,135.6,FALSE,8,kg,135.6,FALSE,136,FALSE,0,FALSE,,"$2,571.00","$2,571.00",0,TRUE,FALSE,$18.96
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37.92,FALSE,8,kg,37.92,FALSE,38,FALSE,0,FALSE,,$193.00,$193.00,0,TRUE,FALSE,$5.09
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,458,MYS,Malaysia,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19.2,FALSE,8,kg,19.2,FALSE,19,FALSE,0,FALSE,,$205.00,$205.00,0,TRUE,FALSE,$10.68
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,496,MNG,Mongolia,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96,FALSE,8,kg,96,FALSE,96,FALSE,0,FALSE,,"$1,593.00","$1,593.00",0,TRUE,FALSE,$16.59
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,554,NZL,New Zealand,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1100.16,FALSE,8,kg,1100.16,FALSE,"1,100",FALSE,0,FALSE,,"$6,309.00","$6,309.00",0,TRUE,FALSE,$5.73
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,566,NGA,Nigeria,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,266.88,FALSE,8,kg,266.88,FALSE,267,FALSE,0,FALSE,,"$1,000.00","$1,000.00",0,TRUE,FALSE,$3.75
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,580,MNP,N. Mariana Isds,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,97.5,FALSE,8,kg,97.5,FALSE,98,FALSE,0,FALSE,,"$1,329.00","$1,329.00",0,TRUE,FALSE,$13.63
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,634,QAT,Qatar,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96,FALSE,8,kg,96,FALSE,96,FALSE,0,FALSE,,"$1,052.00","$1,052.00",0,TRUE,FALSE,$10.96
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,702,SGP,Singapore,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48.81,FALSE,8,kg,48.81,FALSE,49,FALSE,0,FALSE,,$357.00,$357.00,0,TRUE,FALSE,$7.31
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,704,VNM,Viet Nam,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,281.6,FALSE,8,kg,281.6,FALSE,282,FALSE,0,FALSE,,"$1,808.00","$1,808.00",0,TRUE,FALSE,$6.42
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150,FALSE,8,kg,150,FALSE,150,FALSE,0,FALSE,,"$5,461.00","$5,461.00",0,TRUE,FALSE,$36.41
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,92.21,FALSE,8,kg,92.21,FALSE,92,FALSE,0,FALSE,,$673.00,$673.00,0,TRUE,FALSE,$7.30
