typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/kg)
PrimaryValue/weight"
C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5,FALSE,8,kg,5,FALSE,5,FALSE,0,FALSE,$58.82 ,$15.30 ,$58.82 ,0,FALSE,TRUE,$11.76 
C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,180,COD,Dem. Rep. of the Congo,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,FALSE,8,kg,2,FALSE,2,FALSE,0,FALSE,$14.00 ,$14.00 ,$14.00 ,0,FALSE,TRUE,$7.00 
C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,620,PRT,Portugal,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12751,FALSE,8,kg,12751,FALSE,"12,751",FALSE,0,FALSE,"$14,323.34 ","$13,044.73 ","$14,323.34 ",0,FALSE,TRUE,$1.12 
C,A,20210101,2021,52,2021,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,TRUE,030781 (건조),"Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,34399.56,FALSE,8,kg,34399.56,FALSE,"22,529",FALSE,0,FALSE,"$153,625.60 ",,"$153,625.60 ",0,FALSE,TRUE,$6.82 
C,A,20210101,2021,52,2021,28,ATG,Antigua and Barbuda,M,Import,156,CHN,China,0,W00,World,H3,HS,TRUE,030781 (건조),"Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20,FALSE,8,kg,20,FALSE,7,FALSE,0,FALSE,$190.81 ,,$190.81 ,0,FALSE,TRUE,$26.39 
C,A,20210101,2021,52,2021,28,ATG,Antigua and Barbuda,M,Import,591,PAN,Panama,0,W00,World,H3,HS,TRUE,030781 (건조),"Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1592,FALSE,8,kg,1592,FALSE,"1,644",FALSE,0,FALSE,"$11,819.38 ",,"$11,819.38 ",0,FALSE,TRUE,$7.19 
C,A,20210101,2021,52,2021,28,ATG,Antigua and Barbuda,M,Import,804,UKR,Ukraine,0,W00,World,H3,HS,TRUE,030781 (건조),"Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,900,FALSE,8,kg,900,FALSE,180,FALSE,0,FALSE,"$2,841.12 ",,"$2,841.12 ",0,FALSE,TRUE,$15.78 
C,A,20210101,2021,52,2021,28,ATG,Antigua and Barbuda,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,TRUE,030781 (건조),"Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,8,kg,1,FALSE,2,FALSE,0,FALSE,$12.46 ,,$12.46 ,0,FALSE,TRUE,$6.23 
C,A,20210101,2021,52,2021,28,ATG,Antigua and Barbuda,M,Import,842,USA,USA,0,W00,World,H3,HS,TRUE,030781 (건조),"Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31886.56,FALSE,8,kg,31886.56,FALSE,"20,696",FALSE,0,FALSE,"$138,761.83 ",,"$138,761.83 ",0,FALSE,TRUE,$6.70 
C,A,20210101,2021,52,2021,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,450,FALSE,8,kg,450,FALSE,450,FALSE,0,FALSE,"$3,112.50 ",,"$3,112.50 ",0,FALSE,TRUE,$6.92 
