year,exporter,importer,hs_code,trade_value,trade_weight,unit_price
2023,,,030781,6541.832,200.0,32.709160000000004
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,47929.819,2070.0,23.15450193236715
2023,,,030781,47929.819,2070.0,23.15450193236715
2023,,,030781,861.341,21.0,41.016238095238094
2023,,,030781,383.787,58.0,6.61701724137931
2023,,,030781,3832.423,585.0,6.551150427350427
2023,,,030781,87.224,14.0,6.230285714285714
2023,,,030781,2863.142,161.0,17.78349068322981
2023,,,030781,433.941,67.0,6.476731343283582
2023,,,030781,281.299,43.0,6.541837209302325
2023,,,030781,59188.311,1510.0,39.19755695364238
2023,,,030781,4633.797,102.0,45.429382352941175
2023,,,030781,16774.346,549.0,30.554364298724956
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,4633.797,102.0,45.429382352941175
2023,,,030781,68154.982,2731.0,24.956053460270965
2023,,,030781,68154.982,2731.0,24.956053460270965
2023,,,030781,4633.797,102.0,45.429382352941175
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,304.195,18.0,16.899722222222223
2023,,,030781,12821.99,440.0,29.140886363636362
2023,,,030781,861.341,21.0,41.016238095238094
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,12821.99,440.0,29.140886363636362
2023,,,030781,6541.832,200.0,32.709160000000004
2023,,,030781,68154.982,2731.0,24.956053460270965
2023,,,030781,12821.99,440.0,29.140886363636362
2023,,,030781,959431.46,16473.0,58.24266739513143
2023,,,030781,51496.99,5040.0,10.217656746031746
2023,,,030781,19779908.391,633665.0,31.215087453149533
2023,,,030781,17765.44,446.0,39.83282511210762
2023,,,030781,3447774.97,90060.0,38.28308871863202
2023,,,030781,28090.51,1104.0,25.444302536231884
2023,,,030781,651292.219,4928.0,132.16157041396104
2023,,,030781,6265.984,959.0,6.533872784150157
2023,,,030781,89292.73,3840.0,23.253315104166667
2023,,,030781,30104.419,2330.0,12.920351502145923
2023,,,030781,114628.153,4962.0,23.101199717855703
2023,,,030781,4633.797,102.0,45.429382352941175
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,304.195,18.0,16.899722222222223
2023,,,030781,304.195,18.0,16.899722222222223
2023,,,030781,4633.797,102.0,45.429382352941175
2023,,,030781,861.341,21.0,41.016238095238094
2023,,,030781,12821.99,440.0,29.140886363636362
2023,,,030781,523.347,20.0,26.16735
2023,,,030781,304.195,18.0,16.899722222222223
2023,,,030781,5157.144,122.0,42.27167213114754
2023,,,030781,6541.832,200.0,32.709160000000004
2023,,,030781,47929.819,2070.0,23.15450193236715
2023,,,030781,6541.832,200.0,32.709160000000004
2023,,,030781,136.0,133.0,1.0225563909774436
2023,,,030781,136.0,133.0,1.0225563909774436
2023,,,030781,4529.0,288.0,15.725694444444445
